gene_name,feature_id,feature_type,gene_length_bp,eligible_candidate_count,screened_candidate_count,screening_fraction,clean_candidate_count,expert_review_candidate_count,failed_or_missing_count,clean_fraction,clean_fraction_wilson_lower_95,candidate_density_per_kb,conserved_candidate_count,conserved_candidate_fraction,exact_all_accepted_genomes_count,best_candidate_id,best_candidate_rank,best_candidate_score,median_top_5_candidate_rank,median_top_10_candidate_rank,worst_top_5_rank,median_human_hit_count,one_mismatch_candidate_count,two_mismatch_candidate_count,three_mismatch_candidate_count,tool_coverage,rank_variance,evidence_coverage,biological_evidence_status,confidence_level,best_candidate_component,top5_robustness_component,clean_fraction_component,human_burden_component,conservation_component,targetability_score,best_single_candidate_rank,top5_robustness_rank,clean_fraction_rank,targetability_rank,targetability_explanation,ranking_provenance
UL20,HHV2p57,gene,6504,1096,1096,1.0,138,958,0,0.1259124087591241,0.10756924911821214,168.51168511685117,1096,1.0,1096,VST-2ef5158024ade344,16.0,0.84891064729205,51.0,77.0,76.0,4.5,25,307,955,1.0,4626.610000000001,,biological evidence not supplied,high,0.8012820512820513,0.8974358974358975,0.6923076923076923,0.4935897435897436,0.5,0.676923076923077,16.0,9.0,25.0,11.0,"Rank-aggregated computational targetability from within-view percentiles; screened=1096, eligible=1096, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL18,HHV2p58,gene,1023,187,187,1.0,29,158,0,0.15508021390374332,0.11019917850731954,182.7956989247312,187,1.0,187,VST-7ca830d5c47bd4fc,51.0,0.84891064729205,92.0,336.0,332.0,4.0,4,43,157,1.0,49489.409999999996,,biological evidence not supplied,high,0.6025641025641026,0.8205128205128205,0.7307692307692308,0.6987179487179487,0.5,0.6705128205128206,32.0,15.0,22.0,12.0,"Rank-aggregated computational targetability from within-view percentiles; screened=187, eligible=187, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US8,HHV2p07,gene,2343,408,408,1.0,70,338,0,0.1715686274509804,0.1380926278339657,174.1357234314981,408,1.0,408,VST-987130218dfffaa4,61.0,0.84891064729205,193.0,301.0,284.0,3.0,4,93,336,1.0,24692.21,,biological evidence not supplied,high,0.5128205128205128,0.46153846153846156,0.9358974358974359,0.9358974358974359,0.5,0.6692307692307692,38.0,43.0,6.0,13.0,"Rank-aggregated computational targetability from within-view percentiles; screened=408, eligible=408, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL9,HHV2p68,gene,4938,738,738,1.0,94,643,0,0.12737127371273713,0.10523266823288466,149.453219927096,738,1.0,738,VST-2c252939df26b41d,15.0,0.84891064729205,26.0,94.5,93.0,5.0,13,210,642,1.0,4569.44,,biological evidence not supplied,high,0.8269230769230769,0.9743589743589743,0.6538461538461539,0.33333333333333337,0.5,0.6576923076923077,14.0,3.0,28.0,14.0,"Rank-aggregated computational targetability from within-view percentiles; screened=738, eligible=738, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL25,HHV2p51,gene,3962,671,671,1.0,100,571,0,0.14903129657228018,0.12408651365107796,169.35890964159515,671,1.0,671,VST-9b2fe3f28849fe07,63.0,0.84891064729205,125.0,199.0,176.0,4.0,15,161,570,1.0,11751.289999999999,,biological evidence not supplied,high,0.4551282051282052,0.6730769230769231,0.8974358974358975,0.6987179487179487,0.5,0.6448717948717949,42.0,26.0,9.0,15.0,"Rank-aggregated computational targetability from within-view percentiles; screened=671, eligible=671, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL6,HHV2p70,gene,2916,510,510,1.0,76,434,0,0.14901960784313725,0.12074154567041648,174.89711934156378,510,1.0,510,VST-9033bd512722ae70,60.0,0.84891064729205,151.0,239.0,220.0,4.0,4,119,431,1.0,5684.49,,biological evidence not supplied,high,0.5448717948717949,0.5897435897435898,0.858974358974359,0.6987179487179487,0.5,0.6384615384615385,36.0,33.0,12.0,16.0,"Rank-aggregated computational targetability from within-view percentiles; screened=510, eligible=510, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL53,HHV2p21,gene,1288,147,147,1.0,26,121,0,0.17687074829931973,0.1236557603722161,114.13043478260869,147,1.0,147,VST-3a05e8146637b989,21.0,0.84891064729205,119.0,217.5,192.0,5.0,2,32,118,1.0,14060.85,,biological evidence not supplied,high,0.7564102564102564,0.7051282051282051,0.8846153846153846,0.33333333333333337,0.5,0.6358974358974359,20.0,24.0,10.0,17.0,"Rank-aggregated computational targetability from within-view percentiles; screened=147, eligible=147, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL24,HHV2p52,gene,5095,842,842,1.0,118,723,0,0.14014251781472684,0.11832596646104862,165.26005888125613,842,1.0,842,VST-9b2fe3f28849fe07,63.0,0.84891064729205,125.0,199.0,176.0,4.0,20,209,722,1.0,11751.289999999999,,biological evidence not supplied,high,0.4551282051282052,0.6730769230769231,0.8205128205128205,0.6987179487179487,0.5,0.6294871794871795,42.0,26.0,15.0,18.0,"Rank-aggregated computational targetability from within-view percentiles; screened=842, eligible=842, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL41,HHV2p34,gene,1548,244,244,1.0,36,208,0,0.14754098360655737,0.10851490473726083,157.62273901808786,244,1.0,244,VST-a72dcc46e168081b,71.0,0.84891064729205,80.0,137.0,135.0,4.0,1,57,208,1.0,6879.889999999999,,biological evidence not supplied,high,0.41025641025641024,0.8333333333333334,0.7051282051282051,0.6987179487179487,0.5,0.6294871794871795,47.0,14.0,24.0,18.0,"Rank-aggregated computational targetability from within-view percentiles; screened=244, eligible=244, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL19,HHV2p56,gene,5524,937,937,1.0,110,827,0,0.11739594450373532,0.09833053338237766,169.62346125995654,937,1.0,937,VST-2ef5158024ade344,16.0,0.84891064729205,72.0,138.0,92.0,5.0,24,269,824,1.0,10645.41,,biological evidence not supplied,high,0.8012820512820513,0.8461538461538461,0.6025641025641026,0.33333333333333337,0.5,0.6166666666666667,16.0,13.0,32.0,20.0,"Rank-aggregated computational targetability from within-view percentiles; screened=937, eligible=937, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL36,HHV2p39,gene,9432,1642,1642,1.0,159,1483,0,0.09683313032886723,0.08345588520331576,174.08821034775232,1642,1.0,1642,VST-2e9f052157f9bf29,1.0,0.85,29.0,51.5,46.0,6.0,30,490,1481,1.0,1920.56,,biological evidence not supplied,high,1.0,0.9487179487179487,0.46153846153846156,0.11538461538461542,0.5,0.6051282051282051,1.0,5.0,43.0,21.0,"Rank-aggregated computational targetability from within-view percentiles; screened=1642, eligible=1642, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL4,HHV2p71,gene,692,111,111,1.0,19,92,0,0.17117117117117117,0.11240946764147157,160.40462427745666,111,1.0,111,VST-0f67f9aa2e71fd93,7.0,0.84891064729205,827.0,899.0,891.0,4.0,2,25,91,1.0,91707.95999999999,,biological evidence not supplied,high,0.9038461538461539,0.11538461538461542,0.7692307692307692,0.6987179487179487,0.5,0.5974358974358974,8.0,70.0,19.0,22.0,"Rank-aggregated computational targetability from within-view percentiles; screened=111, eligible=111, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL22,HHV2p54,gene,2518,455,455,1.0,55,400,0,0.12087912087912088,0.09405725873083996,180.69896743447183,455,1.0,455,VST-836b8f22d99f2c57,54.0,0.84891064729205,136.0,246.5,171.0,4.0,8,97,399,1.0,21198.760000000002,,biological evidence not supplied,high,0.5769230769230769,0.6282051282051282,0.5512820512820513,0.6987179487179487,0.5,0.591025641025641,34.0,30.0,36.0,23.0,"Rank-aggregated computational targetability from within-view percentiles; screened=455, eligible=455, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL29,HHV2p46,gene,3643,625,625,1.0,78,547,0,0.1248,0.10115969343092387,171.56189953335164,625,1.0,625,VST-52a09045c26473d1,30.0,0.84891064729205,104.0,150.5,132.0,5.0,16,152,545,1.0,4921.01,,biological evidence not supplied,high,0.717948717948718,0.7692307692307692,0.6282051282051282,0.33333333333333337,0.5,0.5897435897435898,23.0,19.0,30.0,24.0,"Rank-aggregated computational targetability from within-view percentiles; screened=625, eligible=625, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL26,HHV2p50,gene,1971,336,336,1.0,49,287,0,0.14583333333333334,0.11209972342389625,170.4718417047184,336,1.0,336,VST-9b2fe3f28849fe07,63.0,0.84891064729205,175.0,468.0,464.0,4.0,5,75,287,1.0,52800.64,,biological evidence not supplied,high,0.4551282051282052,0.4871794871794872,0.7564102564102564,0.6987179487179487,0.5,0.5794871794871795,42.0,41.0,20.0,25.0,"Rank-aggregated computational targetability from within-view percentiles; screened=336, eligible=336, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US9,HHV2p05,gene,317,53,53,1.0,10,43,0,0.18867924528301888,0.1058532510768591,167.19242902208202,53,1.0,53,VST-987130218dfffaa4,61.0,0.84891064729205,318.0,877.0,757.0,3.0,1,12,42,1.0,562426.41,,biological evidence not supplied,high,0.5128205128205128,0.28205128205128205,0.6666666666666667,0.9358974358974359,0.5,0.5794871794871795,38.0,57.0,27.0,25.0,"Rank-aggregated computational targetability from within-view percentiles; screened=53, eligible=53, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL12,HHV2p63,gene,2070,377,377,1.0,47,329,0,0.1246684350132626,0.09506174952898261,182.1256038647343,377,1.0,377,VST-b3c226e1dbf82116,77.0,0.84891064729205,115.0,291.5,233.0,4.0,7,89,328,1.0,41943.29,,biological evidence not supplied,high,0.3782051282051282,0.7371794871794872,0.5641025641025641,0.6987179487179487,0.5,0.5756410256410256,48.0,21.0,35.0,27.0,"Rank-aggregated computational targetability from within-view percentiles; screened=377, eligible=377, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US6,HHV2p09,gene,2573,478,478,1.0,48,430,0,0.100418410041841,0.07657931905347534,185.77535950252624,478,1.0,478,VST-3d1ca7c710ae6e86,23.0,0.84891064729205,155.0,202.5,202.0,4.0,5,103,429,1.0,18528.690000000002,,biological evidence not supplied,high,0.7371794871794872,0.5641025641025641,0.3717948717948718,0.6987179487179487,0.5,0.5743589743589743,21.0,35.0,50.0,28.0,"Rank-aggregated computational targetability from within-view percentiles; screened=478, eligible=478, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL49A,HHV2p26,gene,1539,200,200,1.0,43,157,0,0.215,0.1637187625450758,129.95451591942822,200,1.0,200,VST-3c43f917dee00628,168.0,0.846915388633402,190.0,228.0,225.0,4.0,2,46,154,1.0,33759.490000000005,,biological evidence not supplied,high,0.17948717948717952,0.47435897435897434,0.9743589743589743,0.6987179487179487,0.5,0.5653846153846154,65.0,42.0,3.0,29.0,"Rank-aggregated computational targetability from within-view percentiles; screened=200, eligible=200, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL42,HHV2p33,gene,1487,227,227,1.0,18,209,0,0.07929515418502203,0.05074423270580169,152.6563550773369,227,1.0,227,VST-0f42c4959c6946ee,6.0,0.84891064729205,27.0,397.5,287.0,5.0,1,54,209,1.0,169534.65,,biological evidence not supplied,high,0.9230769230769231,0.9615384615384616,0.0641025641025641,0.33333333333333337,0.5,0.5564102564102564,7.0,4.0,74.0,30.0,"Rank-aggregated computational targetability from within-view percentiles; screened=227, eligible=227, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL44,HHV2p31,gene,2322,443,443,1.0,69,374,0,0.15575620767494355,0.12496330610193249,190.78380706287683,443,1.0,443,VST-a7a1eb35bf0e0f4b,124.0,0.8478212945841,201.0,259.0,218.0,4.0,7,98,373,1.0,11484.560000000001,,biological evidence not supplied,high,0.23717948717948723,0.4358974358974359,0.9102564102564102,0.6987179487179487,0.5,0.5564102564102564,60.0,45.0,8.0,30.0,"Rank-aggregated computational targetability from within-view percentiles; screened=443, eligible=443, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US2,HHV2p13,gene,896,176,176,1.0,21,155,0,0.11931818181818182,0.0793800585193726,196.42857142857142,176,1.0,176,VST-0df2b61a3df2b6ad,5.0,0.84891064729205,141.0,486.0,461.0,5.0,3,53,154,1.0,93197.48999999999,,biological evidence not supplied,high,0.9358974358974359,0.6153846153846154,0.3846153846153846,0.33333333333333337,0.5,0.5538461538461539,6.0,31.0,49.0,32.0,"Rank-aggregated computational targetability from within-view percentiles; screened=176, eligible=176, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL27,HHV2p48,gene,2751,416,416,1.0,39,377,0,0.09375,0.06933898069343022,151.21773900399856,416,1.0,416,VST-72c344f5ebab072c,45.0,0.84891064729205,134.0,316.0,237.0,4.0,8,106,372,1.0,25541.640000000007,,biological evidence not supplied,high,0.6282051282051282,0.641025641025641,0.28205128205128205,0.6987179487179487,0.5,0.55,30.0,29.0,57.0,33.0,"Rank-aggregated computational targetability from within-view percentiles; screened=416, eligible=416, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL49,HHV2p25,gene,937,110,110,1.0,28,82,0,0.2545454545454545,0.182381907512531,117.39594450373532,110,1.0,110,VST-d73334a877b40022,225.0,0.846915388633402,536.0,883.5,789.0,3.0,1,25,81,1.0,130951.81000000001,,biological evidence not supplied,high,0.16666666666666663,0.15384615384615385,0.9871794871794872,0.9358974358974359,0.5,0.5487179487179488,66.0,67.0,2.0,34.0,"Rank-aggregated computational targetability from within-view percentiles; screened=110, eligible=110, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL5,HHV2p72,gene,3404,512,512,1.0,47,465,0,0.091796875,0.06973502506867789,150.41128084606345,512,1.0,512,VST-0f67f9aa2e71fd93,7.0,0.84891064729205,34.0,64.0,58.0,6.0,8,146,461,1.0,8324.45,,biological evidence not supplied,high,0.9038461538461539,0.9230769230769231,0.2948717948717948,0.11538461538461542,0.5,0.5474358974358975,8.0,7.0,56.0,35.0,"Rank-aggregated computational targetability from within-view percentiles; screened=512, eligible=512, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US3,HHV2p12,gene,3731,644,644,1.0,62,582,0,0.09627329192546584,0.07582787242421452,172.6078799249531,644,1.0,644,VST-597a5cd0a9e8ee69,33.0,0.84891064729205,69.0,101.5,91.0,5.0,7,179,579,1.0,18630.01,,biological evidence not supplied,high,0.6858974358974359,0.858974358974359,0.3589743589743589,0.33333333333333337,0.5,0.5474358974358975,25.0,12.0,51.0,35.0,"Rank-aggregated computational targetability from within-view percentiles; screened=644, eligible=644, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL34,HHV2p41,gene,1351,227,227,1.0,35,192,0,0.15418502202643172,0.11300025434034024,168.02368615840118,227,1.0,227,VST-1aa0d67c1728df8f,153.0,0.846915388633402,164.0,289.5,269.0,4.0,2,43,192,1.0,14618.4,,biological evidence not supplied,high,0.1923076923076923,0.5128205128205128,0.782051282051282,0.6987179487179487,0.5,0.5371794871794873,64.0,39.0,18.0,37.0,"Rank-aggregated computational targetability from within-view percentiles; screened=227, eligible=227, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL21,HHV2p55,gene,1613,288,288,1.0,39,249,0,0.13541666666666666,0.10066665087285458,178.54928704277742,288,1.0,288,VST-9915a2db480e34fd,62.0,0.84891064729205,152.0,248.5,204.0,4.5,5,83,246,1.0,31223.289999999997,,biological evidence not supplied,high,0.4871794871794872,0.5769230769230769,0.6153846153846154,0.4935897435897436,0.5,0.5346153846153847,41.0,34.0,31.0,38.0,"Rank-aggregated computational targetability from within-view percentiles; screened=288, eligible=288, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL48,HHV2p27,gene,1565,262,262,1.0,32,230,0,0.12213740458015267,0.08785893547516481,167.4121405750799,262,1.0,262,VST-9e78c30122a798a2,67.0,0.84891064729205,157.0,284.5,283.0,4.0,2,60,229,1.0,13376.439999999999,,biological evidence not supplied,high,0.42307692307692313,0.5384615384615384,0.4871794871794872,0.6987179487179487,0.5,0.5294871794871796,46.0,37.0,41.0,39.0,"Rank-aggregated computational targetability from within-view percentiles; screened=262, eligible=262, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US5,HHV2p10,gene,3298,593,593,1.0,60,533,0,0.10118043844856661,0.0794178262710938,179.805942995755,593,1.0,593,VST-3d1ca7c710ae6e86,23.0,0.84891064729205,129.0,194.0,186.0,5.0,8,142,532,1.0,8023.65,,biological evidence not supplied,high,0.7371794871794872,0.6538461538461539,0.39743589743589747,0.33333333333333337,0.5,0.5243589743589744,21.0,28.0,48.0,40.0,"Rank-aggregated computational targetability from within-view percentiles; screened=593, eligible=593, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL39,HHV2p36,gene,4535,692,692,1.0,76,616,0,0.10982658959537572,0.08864907598591928,152.5909592061742,692,1.0,692,VST-6eb43191a8550e77,44.0,0.84891064729205,150.0,211.0,199.0,5.0,7,206,610,1.0,9568.4,,biological evidence not supplied,high,0.641025641025641,0.6025641025641026,0.5128205128205128,0.33333333333333337,0.5,0.517948717948718,29.0,32.0,39.0,41.0,"Rank-aggregated computational targetability from within-view percentiles; screened=692, eligible=692, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL14,HHV2p65,gene,4080,699,699,1.0,80,618,0,0.11444921316165951,0.09292634220173382,171.3235294117647,699,1.0,699,VST-b3c226e1dbf82116,77.0,0.84891064729205,94.0,108.0,101.0,5.0,10,168,615,1.0,3767.16,,biological evidence not supplied,high,0.3782051282051282,0.8012820512820513,0.5384615384615384,0.33333333333333337,0.5,0.5102564102564103,48.0,16.0,37.0,42.0,"Rank-aggregated computational targetability from within-view percentiles; screened=699, eligible=699, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
