gene_name,mapped_guide_count,median_relative_protein_position,median_frameshift_hypothesis_fraction,guides_with_determinable_premature_stop,guides_cutting_annotated_domain,guides_cutting_annotated_disorder,guides_in_annotated_conserved_region,summary_scope
UL41,3,0.975609756097561,0.7,3,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL42,3,0.19148936170212766,0.7,3,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL43,1,0.8502415458937198,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL46,18,0.47714681440443213,0.7,18,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL47,10,0.492816091954023,0.7,10,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL48,2,0.7336734693877551,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL49A,2,0.011494252873563218,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL5,7,0.7707150964812712,0.7,7,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL50,18,0.34417344173441733,0.7,18,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL52,11,0.38555347091932457,0.7,11,11,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL53,9,0.33727810650887574,0.7,9,9,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL54,1,0.927734375,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL55,1,0.8655913978494624,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL56,2,0.6914893617021276,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL7,1,0.6959459459459459,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL8,1,0.022606382978723406,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL9,5,0.3639494833524684,0.7,5,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
US3,4,0.6288981288981289,0.7,4,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
US4,1,0.22746781115879827,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
US6,1,0.08651399491094147,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
US9,1,1.0112359550561798,0.7,0,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
