query_id	gene_name	query_family	evidence_scope	query_text
Q-6ead71c2a217b208	UL18	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-1d81e501d1d5f924	UL18	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-fb093c1dcbff991d	UL18	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-c264ad7ea1e4d147	UL18	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-f432b85482287f26	UL19	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-4ad4324a09e62091	UL19	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-3dff448a22d327af	UL19	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-a44b4bf81ff904dc	UL19	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-f1ecd62db46ead5c	UL19	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-0193668739436962	UL19	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-a036b26d322786f8	UL19	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-0a5e7a32da36c891	UL19	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p56"" OR ""UL19"" OR ""major capsid protein"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-d49141be2c58638b	UL20	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-5e333a736ebff2da	UL20	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-040cf89e403ee12c	UL20	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-6ef37960a04b405d	UL20	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-aedfdd41d3c0b7e5	UL20	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-8b77a5b887298003	UL20	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-04a1d1498804154b	UL20	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-1d6bc3ef629fb6a5	UL20	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p57"" OR ""UL20"" OR ""envelope protein UL20"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-ecdc1cfee099d2a4	UL3	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-c5cbe22f9b8c5b33	UL3	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-a61b6c49107a0740	UL3	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-39b9c4fd156f7295	UL3	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-2d900e87a98ca7e6	UL3	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-51324d476ebd9428	UL3	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-36766402f3882fbd	UL3	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-bcb2eabd02d2a4bd	UL3	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p73"" OR ""UL3"" OR ""nuclear protein UL3"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-9086c3180f248c7e	UL30	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-b8aab9c04fb5d76a	UL30	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-8903eaddfa547686	UL30	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-7ca99393f03ebb87	UL30	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-aec7a3dffd58fd33	UL30	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-ff6ee61b516d0588	UL30	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-9b3d929d9677928a	UL30	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-0fc783be0fcdcde8	UL30	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""DNA polymerase catalytic subunit"" OR ""HHV2p45"" OR ""UL30"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-68975b9b9cdc3d75	UL36	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-4e3f1bc7d02c75db	UL36	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-9c7d0504a4d4675f	UL36	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-be7de0c16ffa8808	UL36	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-418ad737e65d24fb	UL36	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-c1b511dd9d7946c0	UL36	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-a891c8efcbcfc3a3	UL36	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-ae08875ec9796eb9	UL36	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p39"" OR ""UL36"" OR ""large tegument protein"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-99011709f9191494	UL52	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-66b63fb7fff6cf92	UL52	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-733ff26da67c12e7	UL52	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-2fab7117f8172e4f	UL52	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-db818803a95c0586	UL52	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-b8a80d44ca35095d	UL52	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-484e17940f75038e	UL52	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-35e85be99c5816d9	UL52	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p22"" OR ""UL52"" OR ""helicase-primase primase subunit"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-eac88ae9106564de	UL53	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-91c32a67e8b49f6e	UL53	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-1fb9b531d95a0424	UL53	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-e6e91292230278e0	UL53	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-68b1bc65d3cb5f6a	UL53	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-383cec36f7b28415	UL53	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-2cd4b14a9d2bdb68	UL53	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-5e7ec70c75e31810	UL53	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p21"" OR ""UL53"" OR ""envelope glycoprotein K"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
